iter	MultiClass
0	1.080821512
1	1.066749741
2	1.054201849
3	1.044246245
4	1.035225217
5	1.027832349
6	1.021356133
7	1.015796039
8	1.010882552
9	1.006224824
10	1.002113246
11	0.9989123612
12	0.9958566755
13	0.9924471593
14	0.9895871679
15	0.9870921122
16	0.9847376002
17	0.9823336602
18	0.9803002598
19	0.9786686561
20	0.9770996619
21	0.9755580947
22	0.974497212
23	0.9727411694
24	0.9716177188
25	0.9702133508
26	0.9690859304
27	0.9681585852
28	0.9671924745
29	0.9662490099
30	0.9653014884
31	0.9643639896
32	0.9636231487
33	0.9629174134
34	0.9620829182
35	0.9612886119
36	0.9605459364
37	0.9598025119
38	0.9591753071
39	0.9585184092
40	0.9579474051
41	0.9574482853
42	0.9570558418
43	0.956433588
44	0.95591858
45	0.9554234764
46	0.9550027885
47	0.9545530789
48	0.9540980505
49	0.9536379705
50	0.9531704611
51	0.952771768
52	0.9524533898
53	0.9521282197
54	0.9517222259
55	0.9514140532
56	0.9510162783
57	0.9507333106
58	0.950446034
59	0.9501382141
60	0.949843636
61	0.9495850926
62	0.9492124588
63	0.9489309786
64	0.9486332163
65	0.9484141193
66	0.9481741106
67	0.947941794
68	0.9476463365
69	0.9473428135
70	0.9471275891
71	0.9469288255
72	0.9466464841
73	0.9464129605
74	0.9461572047
75	0.9459621895
76	0.9457013265
77	0.9454285917
78	0.9452187378
79	0.9450564449
80	0.9448831055
81	0.9447154312
82	0.9445466215
83	0.944378186
84	0.9441853823
85	0.9440109952
86	0.9438381477
87	0.9436627035
88	0.9434922884
89	0.943341022
90	0.9431995523
91	0.9430537192
92	0.9429433464
93	0.9427813422
94	0.9426378272
95	0.9424840899
96	0.9423342096
97	0.9422127367
98	0.9420353162
99	0.9418478411
100	0.9417140951
101	0.9415791461
102	0.9414693841
103	0.9413617935
104	0.9412191117
105	0.9410727689
106	0.9409741681
107	0.9408549196
108	0.9407392284
109	0.9406141291
110	0.940431648
111	0.9403296476
112	0.9401536126
113	0.94001083
114	0.9397960565
115	0.9395925754
116	0.9393745454
117	0.9390979628
118	0.9389527659
119	0.9388061334
120	0.9387004154
121	0.9385563865
122	0.9383484
123	0.9382581739
124	0.9381187162
125	0.93797611
126	0.9378712913
127	0.9376552943
128	0.9375274842
129	0.9373675606
130	0.9372378863
131	0.9370117727
132	0.9369157401
133	0.9368240506
134	0.936733548
135	0.9366102652
136	0.9365045338
137	0.9363521706
138	0.9362457071
139	0.9361238115
140	0.9360136728
141	0.9358683083
142	0.9357377232
143	0.9356369429
144	0.9354403822
145	0.9352915252
146	0.9351744266
147	0.9349477426
148	0.9348486738
149	0.9347174183
150	0.93462913
151	0.9345662335
152	0.9344099045
153	0.9343029063
154	0.9341337397
155	0.9340030282
156	0.9338784635
157	0.9337748535
158	0.9336357649
159	0.9335574639
160	0.9334074796
161	0.933312829
162	0.9332360493
163	0.9331046509
164	0.9330050815
165	0.9329195764
166	0.9327976676
167	0.9327028565
168	0.9325484172
169	0.9324628604
170	0.9323508803
171	0.9322301839
172	0.9321477103
173	0.9320683357
174	0.9319842083
175	0.9319103022
176	0.9318141535
177	0.931691027
178	0.9315860251
179	0.9314797977
180	0.9313903578
181	0.9312916193
182	0.9311963142
183	0.9311121837
184	0.9309971118
185	0.9309486349
186	0.9308818878
187	0.9307872617
188	0.9306721275
189	0.9306218687
190	0.9305076489
191	0.9304153269
192	0.9303467591
193	0.9302573732
194	0.9301673914
195	0.9300707189
196	0.929978624
197	0.9298374397
198	0.929732864
199	0.9296951843
200	0.9296198116
201	0.9295132718
202	0.9294445611
203	0.9293635787
204	0.9292896632
205	0.9292347213
206	0.9291889158
207	0.9291321823
208	0.9290204366
209	0.9289465252
210	0.9288885677
211	0.9287989866
212	0.9286951892
213	0.9286238336
214	0.9285619447
215	0.9285024325
216	0.9284145756
217	0.9283253488
218	0.9282137435
219	0.9281566033
220	0.9280798269
221	0.928018315
222	0.9279749896
223	0.9279012874
224	0.9278522145
225	0.9277862232
226	0.9276660589
227	0.9276049653
228	0.9274993469
229	0.9274041203
230	0.9273445707
231	0.9272330139
232	0.92716923
233	0.9271030765
234	0.9270375986
235	0.9269173055
236	0.9268399815
237	0.9267766551
238	0.9267037285
239	0.9266221554
240	0.9265828015
241	0.9264756869
242	0.9264060703
243	0.9263220599
244	0.9262170695
245	0.9261721925
246	0.9261065992
247	0.9260463414
248	0.9260092782
249	0.9259074401
250	0.9257971539
251	0.9256405163
252	0.9255685793
253	0.9255288686
254	0.9254290503
255	0.9253393929
256	0.9252776361
257	0.925184872
258	0.9251307896
259	0.9250338748
260	0.9249639117
261	0.9249112532
262	0.9247838348
263	0.9247169084
264	0.9246235396
265	0.9245284851
266	0.9244356325
267	0.9243081479
268	0.924246232
269	0.9241665731
270	0.9240953397
271	0.9240431145
272	0.923999405
273	0.9239304635
274	0.9238441314
275	0.9237409249
276	0.9236594621
277	0.9235888429
278	0.9235269999
279	0.9234141834
280	0.9233534143
281	0.923293001
282	0.9232388505
283	0.9231754915
284	0.9231189564
285	0.9230614993
286	0.9229818422
287	0.9229018445
288	0.9228415122
289	0.922778452
290	0.922737748
291	0.9226776775
292	0.9226233283
293	0.9225301883
294	0.9224775494
295	0.92240425
296	0.9223334962
297	0.9222617904
298	0.9222062071
299	0.9221520036
300	0.9221078367
301	0.9220365492
302	0.9219954287
303	0.9219284983
304	0.9218879615
305	0.9218382845
306	0.9217673065
307	0.9217182592
308	0.9216477762
309	0.9215856997
310	0.9215404673
311	0.9214481796
312	0.9213968761
313	0.9213522567
314	0.9212923769
315	0.9212036933
316	0.92112387
317	0.9210677784
318	0.9210406403
319	0.9209857236
320	0.9209294633
321	0.9209051351
322	0.9207836646
323	0.9207458072
324	0.9206583747
325	0.9206277252
326	0.9205954927
327	0.9205135552
328	0.9204283812
329	0.9203325462
330	0.9202495056
331	0.9201785197
332	0.9201127009
333	0.9200312278
334	0.9199712513
335	0.9199086331
336	0.9198816448
337	0.9198023019
338	0.9197321396
339	0.9196598244
340	0.9196108098
341	0.919531615
342	0.9194509368
343	0.9193748403
344	0.9193430119
345	0.9192837035
346	0.9192461104
347	0.9192053623
348	0.9191443455
349	0.9190732427
350	0.9190257986
351	0.9189791348
352	0.9189107741
353	0.9188777357
354	0.9188625422
355	0.9187829067
356	0.9186963128
357	0.9186309019
358	0.9185686833
359	0.9185373892
360	0.918494486
361	0.918454877
362	0.9183987903
363	0.9183492985
364	0.9182706591
365	0.9181881374
366	0.9180898964
367	0.9180247633
368	0.9179619763
369	0.9178889809
370	0.9178226355
371	0.9177704708
372	0.9176940421
373	0.9176572549
374	0.9175956395
375	0.9175416381
376	0.9174648547
377	0.9174062349
378	0.9173576852
379	0.9173019728
380	0.9172385563
381	0.9171864491
382	0.9171325057
383	0.9170873096
384	0.9170234461
385	0.9169884318
386	0.9169669258
387	0.9168988373
388	0.91685545
389	0.9168239936
390	0.9167689378
391	0.9166991402
392	0.9166644632
393	0.9166019184
394	0.9165700528
395	0.9165244707
396	0.9164619273
397	0.9164195944
398	0.9163549196
399	0.9163337677
400	0.9162731117
401	0.9162240489
402	0.9161810906
403	0.9161419652
404	0.9160731466
405	0.9160242933
406	0.9159942083
407	0.9159281286
408	0.915866928
409	0.9158140825
410	0.9157829458
411	0.9157319575
412	0.9156973616
