iter	Passed	Remaining
0	53	53636
1	86	43336
2	121	40386
3	153	38285
4	193	38568
5	229	37972
6	273	38804
7	307	38117
8	342	37762
9	377	37358
10	414	37250
11	457	37627
12	496	37663
13	532	37480
14	568	37324
15	605	37246
16	648	37488
17	684	37358
18	724	37386
19	761	37314
20	795	37094
21	831	36964
22	872	37078
23	912	37117
24	957	37353
25	997	37356
26	1032	37224
27	1070	37160
28	1115	37336
29	1148	37118
30	1186	37088
31	1224	37041
32	1255	36803
33	1295	36814
34	1333	36774
35	1370	36696
36	1408	36658
37	1444	36579
38	1475	36348
39	1511	36277
40	1554	36355
41	1586	36192
42	1617	36005
43	1656	35981
44	1686	35799
45	1720	35690
46	1756	35615
47	1791	35522
48	1826	35445
49	1862	35380
50	1893	35230
51	1930	35191
52	1968	35169
53	2000	35037
54	2032	34930
55	2070	34908
56	2105	34827
57	2139	34751
58	2175	34694
59	2211	34651
60	2251	34659
61	2284	34565
62	2316	34454
63	2348	34346
64	2394	34450
65	2425	34328
66	2461	34276
67	2499	34263
68	2537	34233
69	2575	34213
70	2613	34189
71	2642	34055
72	2678	34019
73	2713	33958
74	2747	33889
75	2782	33834
76	2819	33802
77	2855	33752
78	2892	33719
79	2927	33671
80	2960	33589
81	2991	33491
82	3030	33484
83	3067	33446
84	3099	33360
85	3139	33361
86	3174	33308
87	3213	33305
88	3251	33285
89	3285	33222
90	3321	33178
91	3350	33064
92	3388	33050
93	3431	33076
94	3464	33005
95	3494	32907
96	3527	32837
97	3558	32756
98	3598	32752
99	3630	32673
100	3668	32656
101	3702	32598
102	3731	32500
103	3759	32392
104	3799	32386
105	3830	32310
106	3862	32234
107	3897	32193
108	3937	32188
109	3974	32158
110	4011	32129
111	4043	32057
112	4075	31994
113	4106	31912
114	4143	31884
115	4175	31823
116	4207	31756
117	4242	31711
118	4271	31622
119	4306	31578
120	4342	31545
121	4376	31494
122	4415	31481
123	4447	31416
124	4485	31396
125	4519	31346
126	4554	31308
127	4589	31268
128	4625	31228
129	4660	31187
130	4692	31125
131	4725	31076
132	4755	30999
133	4792	30974
134	4822	30898
135	4859	30871
136	4899	30860
137	4932	30809
138	4965	30759
139	4999	30708
140	5034	30669
141	5065	30609
142	5098	30554
143	5136	30535
144	5170	30488
145	5206	30455
146	5243	30428
147	5279	30390
148	5310	30327
149	5344	30286
150	5379	30248
151	5408	30176
152	5449	30169
153	5479	30102
154	5515	30067
155	5548	30020
156	5582	29975
157	5612	29910
158	5644	29856
159	5679	29815
160	5711	29761
161	5740	29696
162	5774	29653
163	5807	29602
164	5839	29552
165	5868	29485
166	5903	29448
167	5932	29378
168	5963	29323
169	5996	29279
170	6027	29220
171	6055	29151
172	6084	29086
173	6115	29032
174	6145	28973
175	6175	28911
176	6208	28868
177	6243	28832
178	6277	28790
179	6307	28735
180	6341	28692
181	6377	28663
182	6412	28627
183	6449	28599
184	6481	28555
185	6513	28503
186	6547	28467
187	6580	28423
188	6617	28395
189	6649	28348
190	6682	28304
191	6715	28258
192	6750	28224
193	6785	28193
194	6817	28143
195	6856	28124
196	6889	28082
197	6925	28050
198	6955	27998
199	6988	27952
200	7020	27907
201	7057	27881
202	7090	27838
203	7121	27789
204	7155	27747
205	7188	27708
206	7224	27675
207	7254	27623
208	7289	27590
209	7320	27540
210	7351	27490
211	7381	27437
212	7412	27386
213	7447	27353
214	7485	27329
215	7514	27276
216	7544	27224
217	7577	27181
218	7612	27149
219	7641	27092
220	7674	27052
221	7710	27021
222	7741	26972
223	7771	26924
224	7800	26869
225	7831	26819
226	7865	26783
227	7902	26757
228	7942	26742
229	7979	26715
230	8011	26671
231	8044	26629
232	8074	26581
233	8110	26550
234	8142	26506
235	8182	26489
236	8213	26442
237	8243	26391
238	8275	26349
239	8310	26316
